번호,프로그램명,테마별 분류,서비스 지역,프로그램 소개,프로그램 상세 소개
75,[전남자연학습장] 비자향 가득한 백양골과 자연학습장 탐구교실,자연생태체험,전라남도 장성군 북하면 백양로 1116,백양골자연관찰로-전남자연학습장 견학, ○ 백양골 아름다운 자연과 함께하는 시간을 갖고 자연학습장에 있는 여러 동·식물을 만나볼 수 있으며 과학 공작 프로그램까지 체험할 수 있는 유익한 생태관광 입니다. 
76,[건강나누리]비자향 가득한 백암산으로 떠나는 여행,"건강나누리캠프,",전라남도 장성군 북하면 백양로 1116,백양골자연해설-체험프로그램(만들기)-축령산에서 버물리만들기-아토피 예방관리교육," ○ 비자향 가득한 숲에서 자연해설 프로그램을 듣고 만들기 체험도 하고 ○ 치유의 숲 축령산에서 아토피피부염 예방관리교육도 받고 우리 몸에 좋은 피톤치드 버물리, 모기퇴치제 만들기 체험 등 다양한 프로그램으로 구성되어 있습니다. "
77,[일반]비자향 가득한 백암산으로 떠나는 여행,"자연생태체험,",전라남도 장성군 북하면 백양로 1116,백양골자연해설-체험프로그램(만들기)-자라뫼마을농촌체험 or 자연학습장 견학 or 테디베어박물관 ," ○ 내장산국립공원의 백양사지구의 천연기념물 군락 비자나무 숲에서「비자향 가득한 백암산으로 떠나는 여행」재미있는 자연해설 프로그램을 듣습니다. ○ 장성의 대표적인 농촌 체험마을인 자라뫼마을에서 쌀을 이용한 액자만들기, 고구마 캐기, 미꾸라지 잡기 등의 체험을 합니다. ○ 담양 테지움테마파크에서 만나는 테디베어전시 및 트릭아트를 체험합니다. ○ 전라남도자연학습장에 있는 여러 동·식물을 만나보고 과학 공작 프로그램까지 체험할 수 있습니다."
78,PTSD 숲치유 생태관광,"자연생태체험,문화생태체험,",전라남도 장성군 북하면 백양로 1116,백양골자연해설-숲길걷기 및 탁족-백양사 공양 체험-스님과 차담나누기-요가 및 명상," ○ 자연해설을 통해 오감을 이용한 숲을 느껴보고 선조들의 지혜를 배우는 탁족체험을 통해 스트레스 해소 ○ 백양사의 문화재를 관람하고 스님과의 차담나누기 프로그램 참여 후 명상 및 요가를 통해 스트레스 및 신체 피로 풀기    "
79,[1박2일형] 비자향 가득한 백암산으로 떠나는 여행,"자연생태체험,",전라남도 장성군 북하면 백양로 1116,백양골자연관찰로-백양사-남창계곡-입암산, ○ 백양골 아름다운 자연을 느끼고 백양사 스님과 차담을 나누는 유익한 시간도 갖고 숲 속에서 영화도 볼 수 있는 알찬 생태관광 입니다. 
80,마실길따라 (관매도 1박2일),"자연생태체험,",전라남도 진도군 조도면 관매도 일원,"진도 팽목항에서 배를 타고 출발, 관매도에 도착하여 진행되는 프로그램입니다."," 아름다운 해안의 경치와 태곳적 자연굴이 신비로운 섬, 관매도 명품마을에서 1박2일"
81,국립공원과 함께하는 건강나누리 캠프,"자연생태체험,건강나누리캠프,문화생태체험",전라남도 화순,"환경성질환(아토피, 소아암 등) 아동 및 가족과 함께하는 국립공원 체험활동&의료진 강의"," 환경성질환(아토피, 소아암 등) 아동 및 가족과 함께하는 국립공원 체험활동으로 숲(자연)에서 힐링프로그램."
82,사회성 증진 프로그램 참여,건강나누리캠프,전라남도 화순군,,
83,지리산 뱀사골로 떠나는 테마여행(당일형),"자연생태체험,",전라북도 남원,뱀사골탐방안내소-자연관찰로 숲속체험, 자연이 살아숨쉬는 뱀사골에서 숲속 친구들을 만나는 시간~!
84,지리산 뱀사골로 떠나는 테마여행(1박 2일형),"자연생태체험,건강나누리캠프",전라북도 남원,"1일차 - 탐방안내소1층, 2층, 자연해설, 참여자 화합의 시간, 2일차 - 국악의 성지, 남원테마파크, 광한루원등"," 자연속에서 일상에 스트레스에서 탈출할 수 있고, 서로가 더욱 가까워질수 있는 시간을 갖는  테마여행~!"
85,곤돌라타고 덕유산 천상 나들이,문화생태체험,전라북도 무주군,자율 점심식사 ~ 덕유산의 사계 동영상 감상 ~ 곤도라타고 향적봉 탐방," 1. 대전에서 1시간 거리 무주리조트 <BR>2. 곤돌라타고 10분만에 오르는 정상 <BR>3. 야생화 만발 향적봉 이야기 <BR>4. 계룡산과 지리산을 한눈에"
86,덕유산 숲속여행,"자연생태체험,",전라북도 무주군 설천면 삼공리 구천동계곡,모두모두모여요~금강모치가 살고있는 구천동계곡이야기~가족레크레이션~관광곤돌라~향적봉~막걸리 만들기 체험," 숲속여행을 하며 1박2일동안 아름다운 자연을 즐겨볼 수 있는 프로그램입니다. 단체참가는 아래전화로 문의해주시기 바랍니다. <BR>문의: 063-322-3174, 3473. 생태관광 담당자"
87,[수학여행]길에서 놀며 배우는 자연학교여행,"아동·청소년 체험학습,","전라북도 무주군, 전주시, 부안군",덕유산국립공원 숲속 탐방-금강 레프팅-마이산 역암동굴 탐방-변산반도국립공원 갯벌 탐방," 백두대간의 등줄기 덕유산에서 뻗어져 내려온 산줄기와 강줄기는 마이산에서 만나 산태극 수태극을 불러왔습니다. 1억 년 전의 호수였던 신비로운 마이산에서 돌탑과   역고드름 이야기는 직접 보아야만 느낄 수 있는 신비함을 간직한 자연생태체험입니다.    전주는 조선왕조 500년의 발상지이며 음식문화가 발달하고 전통이 살아 숨 쉬는   온고지신의 전통도시여행입니다. 이와 더불어 서해안 갯벌여행은 해양 생태계의 생   성지이고 바닷물과 흙을 빚어 새로운 자원탄생의 소중함을 느끼게 해주는 탐험여행   입니다. "
88,산과 바다가 함께하는 아름다운 동행,"문화생태체험,농어촌생태체험,",전라북도 부안,변산반도 국립공원의 아름다운 산과 바다 그리고 지역주민의 생활문화 체험 프로그램," 산과 바다가 아름다운 변산반도국립공원에서 숲체험, 바다체험과 더불어 바다와 들을 주 생활지로 살아가는 지역주민들의 생활문화 등 다양한 체험위주의 프로그램"
89,내장산과 함께하는 즐거운 여행(숙박형),자연생태체험,전라북도 정읍시 내장동 59-10 내장산국립공원,내장산 자연 속 트레킹과 함께 미션체험도 즐기시고 100년 전 초가마을에서 하룻밤을 보낼 수  있는 숙박형 프로그램입니다.," - 내장산 탐방안내소 관람 - 자연놀이 및 나뭇잎티셔츠 만들기 체험 - 숲 트레킹, 미션수행  - 초가집에서 보내는 밤   (여치집만들기 체험 등) - 강정 만들기 체험"
90,내장산과 함께하는 즐거운 여행(당일형),건강나누리캠프,전라북도 정읍시 내장동 59-10 내장산국립공원,내장산의 자연을 느낄 수 있는 체험관광, 내장산국립공원의 자연을 느낄 수 있는 매우 유익한 체험관광 프로그램입니다.
91,단풍나무와 함께 추억만들기,건강나누리캠프,전라북도 정읍시 내장동 59-10 내장산국립공원사무소,내장산의 자연을 느낄 수 있는 자연체험," 소외계층 대상, 국립공원에서 즐길 수 있는 유익한 자연체험과 바우처프로그램 지원을 통한 현장형 환경교욱을 제공합니다."
92,미래세대 계룡산 생태탐방,"자연생태체험,문화생태체험,",충청남도 공주시 반포면 온천리,충남 공주 동학사 지역 일원," 계룡산 동학사지구의 자연과 문화를 체험하고 인근의 관광지를 관람하는 탐방프로그램입니다."
93,레인저와 함께하는 계룡산 생태탐방,"자연생태체험,문화생태체험,",충청남도 공주시 반포면 온천리,"충남 계룡산 동학사 지역 및 공주, 부여 일원"," 계룡산 동학사지구의 자연과 문화를 체험하고 인근의 공주, 부여 관광지를 탐방하는 프로그램입니다."
94,계룡산 따라 백제향기 eco-tour,"아동·청소년 체험학습,",충청남도 공주시 반포면 학봉리 777번지 계룡산국립공원사무소,계룡산~공주~서해 바다~부여. 2박 3일형 수학여행 프로그램.," 백제 역사를 대표하는 계룡산, 공주, 부여 지역을 돌아보며 백제인의 숨결을 느끼는 역사 탐방 프로그램(수학여행)"
95,푸른숲 파란바다 건강나누리 캠프,"건강나누리캠프,",충청남도 태안군 태안읍 귀실길 9,"국립공원과 함께하는 건강 나눔 캠프!! 환경성질환 쉽게 이해하기, 자연놀이페스티벌, 태안해변길 에코엔티어링을 함께 즐기며 몸과 마음을 치유하는 시간을 함께 합니다."," 푸른 곰솔숲과 파란 바다가 어우러진 태안해안국립공원에서 환경성질환(천식)에 대한 올바른 이해를 돕고, 태안해변길 트레킹을 통해 건강을 다지고, 다양한 자연놀이를 통해 치유의 시간을 함께하는 건강나눔 캠프"
96,let`s go  태안해안 생태로드,"자연생태체험,",충청남도 태안군 태안해안국립공원 일원,굽이굽이 230km 리아스식 해안선의 아름다움을 품은 태안해안국립공원 생태탐방!! 『let's go 태안해안 생태로드』 100배 즐기기!!," 태안해안국립공원에서 운영되는 생태관광 『Let's go 태안해안 생태로드』는 모래언덕이 간직한 해안사구의 비밀 탐험과 더불어 물때에 맞춰 드러나는 신비한 바닷가의 생물들을 직접 만나고 관찰할 수 있습니다. 열악한 환경 속에서도 꿋꿋이 살아가는 희귀생물을 관찰하고 그들의 생존전략을 배우며 친구가 될 수 있습니다.  태안해안국립공원에서 운영되는 『Let's go 태안해안 생태로드』은 연인, 가족 누구나 부담 없이 참여하실 수 있는 국립공원 최고의 프로그램입니다. 운영개요  1) 사전예약 필수(www.ecotour.knps.or.kr) 2) 당일형 3) 모집인원 20인 이상 시 운영가능 4) 운영비 개인 부담(차량임대, 중식, 여행자보험, 체험비 등) 5) 준비물 : 편안한 옷차림, 운동화, 모자, 갯벌체험시 여벌의 옷 등"
97,백제의 문화를 배우고 바다 생태계의 오감을 느낄 수 있는 여행,"아동·청소년 체험학습,",충청남도 태안해안국립공원 ,백제의 문화와 바다 생태계의 오감을 체험할 수 있는 태안해안 수학여행,"  ○ 천년을 이어온 백제의 미소 빛에 따라 웃는 표정이 달라지는 백제의 천년 미소 서산 마애삼존불상을 보며 문화와 역사에 대해 배울 수 있고, 개심사에 들려 마음가짐을 정리할 수 있는 시간을 보내자,  ○ 바다 생태계의 오감을 느낄 수 있는 여행 살아있는 생명의 벌, 갯벌. 태안의 살아있는 생태계를 직접 체험할 수 있는 갯벌체험과 염전체험을 통해, 해안 생태계의 멋진 향연을 감상해보자. 특히 태안바닷길을 직접 걸어보며 해안 동, 식물들을 한눈에 볼 수 있으며, 바다 생태계를 오감으로 느끼고 경험할 수 있다.    ○ 태안 해안 국립공원에서 생태감수성을 키우는 여행 우리나라 유일의 해안형 국립공원인 태안해안 국립공원, 대표적인 리아스식 해안을 보고 대자연을 만날 수 있는 곳이다. 서로 다른 이름을 가진 해변들이 오밀조밀 해안선을 이루는 곳. 서해안의 섬세한 장관을 느껴보자. "
98,천상의 화원 연화봉 즐기기,"자연생태,",충청북도 단양군,"1일차 : 연화봉,소백산천문대 , 2일차 : 단양팔경 투어, 충주호유람선 승선", 이 프로그램은 소백산국립공원북부사무소 특별프로그램입니다.
99,한드미야 놀자 (팜스테이),"농어촌생태체험,",충청북도 단양군 가곡면 어의곡리,1.한드미마을 투어 2.농촌문화체험 3. 전통음식 만들기 체험 등, 국내 최고의 생태마을인 한드미마을에서 머물며 일상에서는 경험할 수 없었던 특별한 농촌 체험을 신나고 재미있게 경험할 수 있는 프로그램입니다.
100,"대명투어, 월악산에 안기다.","문화생태체험,자연생태체험,",충청북도 단양군 단성면,대명리조트 ~ 사인암 ~  상선암 ~ 유람선 관광(구담봉.옥순봉) ~ 대명리조트," 월악산 생태관광 '대명투어, 월악산에 안기다.' 프로그램은 단양지역 단양팔경 해설에 참여하고 유람선 탑승을 체험 할 수 있는 대명리조트 단양 연계프로그램입니다.  예약 전 연락 바랍니다."
101,속리산과 친구되기,문화생태체험,충청북도 보은군,"법주사 자연/문화해설, 체험(천연 염색, 천연 비누, 도미노, 자연공예, 말 먹이주기, 기마체험), 시기별 특화(큰입배스, 돼지풀 제거)"," 속리산의 아름다운 자연에서 동물과의 교감, 생태계 관찰 등 다양한 체험들을 입맛에 따라 선택하여 즐기시고 시기별로 특화된 외래종 제거활동도 체험해보세요. "
102,천년의 교과서 속리산,"아동·청소년 체험학습,,문화생태체험",충청북도 보은군,"초등 4~6학년 교과연계 자연/문화해설. 교과연계 체험활동(도미노, 지오데식 돔, 청동거울만들기, 천연염색, 천연비누, 말과 교감하기 등)"," 식물의 한살이, 식물의 구조와 기능, 태양의 남중고도와 계절의 변화, 작은생물의 세계 등 교실에서 이론으로 배웠던 내용을 아름다운 속리산의 건강한 자연속에서 직접 관찰하고 체험하여 이해하는 시간."
103,속리산과 함께하는 자연나누리,"아동·청소년 체험학습,자연생태체험,",충청북도 보은군 속리산면 상판리 19-1번지,"법주사 자연/문화해설, 체험(천연 염색, 천연 비누, 도미노, 자연공예, 말 먹이주기, 기마체험)",
104,복잡한 일상을 떠나 자연과 하나되는 기운충전 여행(1박2일),"아동·청소년 체험학습,",충청북도 보은군 속리산면 상판리 법주사로 84,수려한 속리산국립공원 탐방과 함께 흥미로운 체험활동이 어우러진 프로그램," 오리숲 탐방 및 법주사 문화해설, 야행성 생물관찰, 천연염색 체험, 기마체험, 너나들이, 서바이벌 게임 등"
105,햇빛 한 모금 바람 한 줄기도 소중한 속리산 휴식여행(2박3일형),"아동·청소년 체험학습,",충청북도 보은군 속리산면 상판리 법주사로 84,청주지역의 다양한 문화재들 및 속리산국립공원 탐방과 함께 다양한 체험이 어우러진 프로그램," 너나들이(2회), 환경빙고, 도미노 게임 캠프파이어, 레크레이션"
106,"""속리산과 함께하는 자연나누리""","문화생태체험,",충청북도 보은군 속리산면 상판리 법주사로84,"다양한 프로그램 중 1~2가지를 선택, 일정을 협의 하여 진행."," 영화, 연극, 놀이공원, 동물원, 기마체험 등 다양한 문화적 혜택을 다문화, 저소득층 등 에게 제공하는 프로그램."
107,"닥터, 주니어레인저! (Dr. Junior Ranger)",자연생태체험,충청북도 충주시 수안보면 미륵로 568번지,"국립공원의 산양모니터링 체험과 역사, 자연 해설"," 월악산 국립공원의 자연경관과 자연생태를 자유롭게 체험하고 감상할 수 있는 기회를 제공하고, 아이들 및 청소년들이 자연의 소중한 가치를 깨닫고 이해함으로써 자연생태계 보전의 중요성 및 필요성을 산양 위치 추적과 자연, 역사 해설을 통해 공감할 수 있게 만드는 프로그램 입니다."
108,수학여행_역사와 문화가 살아 숨쉬는 백두대간 유람 여행,"아동·청소년 체험학습,","충청북도 월악산, 소백산 일원","1일차 : 부석사, 소수서원, 선비문화체험, 2일차 : 죽령옛길, 도담삼봉, 한드미 마을(농촌체험) 3일차 : 단양 선암계곡 사인암, 충주호 유람선 관광 "," 1일차 : 불교 문화와 유교 문화의 중심의 프로그램 진행 2일차 : 백두대간에 깃든 전통 문화체험 3일차 : 단양 8경 속에서 신선이 되다!(단양 8경, 충주호 유람선) "
109,[생태나누리] 야생화향기와 함께 떠나는 월악산여행,"자연생태체험,",충청북도 제천시 한수면,월악산국립공원 송계지구 및 단양지구(하늘재~만수계곡자연관찰로~장회나루~사인암)," 월악산국립공원  '야생화향기와 함께 떠나는 월악산여행' 생태나누리 프로그램은 하늘재, 만수계곡자연관찰로, 옥순봉·구담봉, 사인암 등 월악산국립공원의 대표 역사문화자원과 자연생태를 자유롭게 체험하고 느낄 수 있는 프로그램입니다."
110,[생태나누리] 아름다운 날들을 위한 힐링,"자연생태체험,",충청북도 제천시 한수면,, 문경지구 실버세대의 건강증진과 여가생활 지원을 결합한 힐링 프로그램입니다.
